rid,aircraft,airport,model,impact,flight_date,damage,airline,origin,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag
31,Airplane,CHARLESTON AFB/INTL ARPT,C-18A,Precautionary Landing,6/17/2000 0:00,No damage,MILITARY,South Carolina,Approach,Medium,Some Cloud,Y,300,No
32,Airplane,SHEPPARD AIR FORCE BASE,T-39A,Precautionary Landing,4/17/2001 0:00,No damage,MILITARY,Texas,Take-off run,Small,Some Cloud,Y,300,No
33,Airplane,BARKSDALE AIR FORCE BASE ARPT,B-53H,Precautionary Landing,4/18/2001 0:00,No damage,MILITARY,Louisiana,Approach,Medium,No Cloud,Y,800,No
34,Airplane,SHEPPARD AIR FORCE BASE,T-39A,None,7/11/2000 0:00,No damage,MILITARY,Texas,Take-off run,Medium,No Cloud,Y,2,No
35,Airplane,BARKSDALE AIR FORCE BASE ARPT,B-53H,None,7/2/2002 0:00,No damage,MILITARY,Louisiana,Climb,Medium,No Cloud,Y,0,No
36,Airplane,CUSTOM AIRPOTR G,A-11A,Precautionary Landing,6/21/2001 0:00,No damage,MILITARY,Louisiana,Climb,Medium,No Cloud,Y,10,No
37,Airplane,CUSTOM AIRPOTR H,B-53H,Precautionary Landing,12/13/2000 0:00,Damage,MILITARY,Louisiana,Climb,Medium,No Cloud,Y,500,No
38,Airplane,CHARLESTON AFB/INTL ARPT,C-18A,None,11/30/2000 0:00,No damage,MILITARY,South Carolina,Approach,Medium,No Cloud,Y,"1,600",No
39,Airplane,BARKSDALE AIR FORCE BASE ARPT,B-53H,None,12/2/2000 0:00,No damage,MILITARY,Louisiana,Approach,Medium,Some Cloud,Y,"1,800",No
40,Airplane,SHEPPARD AIR FORCE BASE,AT-39B,Precautionary Landing,1/17/2001 0:00,No damage,MILITARY,Texas,Climb,Medium,Some Cloud,Y,800,No
